Date,VOO,VEA,VWO,VNQ
2016-03-01,170.98814392089844,30.997726440429688,30.298480987548828,67.8257064819336
2016-04-01,172.50755310058594,31.854093551635742,30.657424926757812,66.97260284423828
2016-05-01,175.53436279296875,31.758644104003906,29.665653228759766,68.47853088378906
2016-06-01,175.22434997558594,30.682668685913086,30.92072296142578,72.57068634033203
2016-07-01,182.58694458007812,32.397605895996094,32.72544479370117,76.34449768066406
2016-08-01,182.8068389892578,32.52954864501953,32.98166275024414,73.47074890136719
2016-09-01,182.04638671875,32.907798767089844,33.24671936035156,71.62921905517578
2016-10-01,179.58352661132812,32.266937255859375,33.75543975830078,67.9834976196289
2016-11-01,186.2742919921875,31.780851364135742,32.38733673095703,66.84432220458984
2016-12-01,188.95242309570312,32.29345703125,31.993892669677734,68.62373352050781
2017-01-01,193.5233917236328,33.753028869628906,33.999149322509766,69.92845916748047
2017-02-01,201.02462768554688,34.10944366455078,34.76286315917969,72.38192749023438
2017-03-01,200.3578643798828,35.018310546875,35.68831253051758,70.1152114868164
2017-04-01,203.38307189941406,35.930850982666016,36.309898376464844,70.79866790771484
2017-05-01,206.2393341064453,37.15627670288086,36.6699333190918,70.28556823730469
2017-06-01,206.60223388671875,36.95948791503906,36.75094985961914,71.1749496459961
2017-07-01,211.81845092773438,38.469966888427734,38.956329345703125,72.74401092529297
2017-08-01,212.43533325195312,38.47901153564453,40.124755859375,72.5540771484375
2017-09-01,215.66905212402344,39.28443145751953,39.46355438232422,71.73392486572266
2017-10-01,221.81826782226562,40.14618682861328,40.897430419921875,71.69507598876953
2017-11-01,228.60061645507812,40.491493225097656,40.759979248046875,73.6052017211914
2017-12-01,230.4230499267578,40.764102935791016,42.070377349853516,72.37540435791016
2018-01-01,244.46449279785156,43.115657806396484,45.88870620727539,70.37010192871094
2018-02-01,235.355712890625,40.91353225708008,43.43037796020508,64.96724700927734
2018-03-01,228.50289916992188,40.60157012939453,43.25544738769531,66.844970703125
2018-04-01,230.34454345703125,41.269771575927734,42.14026641845703,68.04944610595703
2018-05-01,235.91064453125,40.68033218383789,41.15319061279297,70.5535659790039
2018-06-01,236.59335327148438,39.51066970825195,38.929931640625,72.8430404663086
2018-07-01,246.16912841796875,40.92170715332031,40.74201202392578,73.96063995361328
2018-08-01,254.09536743164062,40.21293640136719,39.033599853515625,75.86517333984375
2018-09-01,254.40972900390625,40.35282897949219,38.06797790527344,72.8233413696289
2018-10-01,238.0849609375,37.01702880859375,35.55913162231445,71.6838150024414
2018-11-01,242.57318115234375,37.2042236328125,37.27791976928711,75.03369140625
2018-12-01,219.921630859375,34.72394561767578,35.7845458984375,68.25154876708984
2019-01-01,238.6234588623047,37.71199035644531,39.51112747192383,77.2547378540039
2019-02-01,246.37843322753906,38.591651916503906,39.35981369018555,77.79193878173828
2019-03-01,249.7170867919922,38.657859802246094,40.1920280456543,80.4964599609375
2019-04-01,261.2532653808594,39.925785064697266,41.133209228515625,80.94141387939453
2019-05-01,244.66908264160156,37.845428466796875,38.50849151611328,81.0533447265625
2019-06-01,260.42108154296875,39.621803283691406,40.29936218261719,81.52909088134766
2019-07-01,265.5965881347656,39.246482849121094,39.84246826171875,83.71643829345703
2019-08-01,261.2394104003906,38.506893157958984,38.54491424560547,86.85262298583984
2019-09-01,265.1297912597656,39.45779800415039,38.411338806152344,87.82267761230469
2019-10-01,272.2062072753906,40.99707794189453,40.43215560913086,89.5231704711914
2019-11-01,282.076171875,41.548221588134766,40.63504409790039,88.35546875
2019-12-01,289.0633850097656,42.60215377807617,42.96339797973633,88.08965301513672
2020-01-01,290.3562316894531,41.74097442626953,41.10072708129883,90.12879180908203
2020-02-01,266.8382263183594,38.54741287231445,39.64297866821289,83.79588317871094
2020-03-01,232.5481414794922,32.56069564819336,32.82383728027344,67.02326202392578
2020-04-01,263.51324462890625,35.00190353393555,35.45320510864258,73.5998764038086
2020-05-01,275.99334716796875,36.95408248901367,36.61962127685547,74.87635040283203
2020-06-01,279.6239013671875,38.052799224853516,38.825035095214844,75.9400634765625
2020-07-01,297.6091003417969,39.25239181518555,42.33845138549805,79.48509216308594
2020-08-01,318.35540771484375,41.28353500366211,43.50002670288086,79.83666229248047
2020-09-01,305.0964050292969,40.327125549316406,42.56486511230469,77.11196899414062
2020-10-01,298.5989685058594,39.10329055786133,43.546424865722656,75.37710571289062
2020-11-01,331.2853088378906,44.693721771240234,47.273860931396484,82.66976165771484
2020-12-01,342.2903137207031,46.79508590698242,49.80852127075195,83.58503723144531
2021-01-01,340.17999267578125,46.869998931884766,51.68000030517578,84.95999908447266
2021-02-01,349.5899963378906,48.0099983215332,52.4900016784668,87.87000274658203
2021-03-01,350.6600036621094,48.619998931884766,53.380001068115234,86.91000366210938
